Kombinace rysů,délka úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)",2,0.7073248407643312,919,0.8258650028360749,0.7666451195862961,0.28500414250207123,0.6258380883081475,0.708171206225681,0.6633109619686801,0.9052631578947369,0.9904761904761905,0.9081163859111792,0.16912487708947885
"(0, 0, 0, 1, 0)",2,0.595859872611465,1269,0.7662061636556854,0.573170731707317,0.011538461538461539,0.4503051189671547,0.6285963382737576,0.5139732685297691,0.2608695652173913,0.9809523809523809,0.6477794793261868,0.0058997050147492625
"(0, 0, 0, 1, 1)",2,0.7105095541401274,909,0.8314220183486238,0.7600254614894971,0.3013923013923014,0.6309465937434741,0.7185332011892963,0.6503267973856209,0.9019607843137255,0.9863945578231292,0.9142419601837672,0.18092428711897737
"(0, 0, 1, 0, 0)",2,0.5955414012738853,1270,0.7660026560424967,0.5722033898305084,0.011538461538461539,0.44991483580382224,0.628322440087146,0.51338199513382,0.2608695652173913,0.9809523809523809,0.6462480857580398,0.0058997050147492625
"(0, 0, 1, 0, 1)",2,0.7101910828025477,910,0.8314220183486238,0.7595419847328244,0.3,0.6303213343604828,0.7185332011892963,0.6496191512513602,0.9014778325123153,0.9863945578231292,0.9142419601837672,0.17994100294985252
"(0, 0, 1, 1, 0)",2,0.7015923566878981,937,0.8270162439441436,0.7476160203432931,0.27378964941569284,0.6161406379010431,0.7116233447768514,0.6391304347826087,0.9060773480662984,0.9870748299319728,0.900459418070444,0.16125860373647985
"(0, 0, 1, 1, 1)",2,0.6579617834394904,1074,0.7909117054932413,0.6413393432066967,0.3088,0.580350349566646,0.6851021425012457,0.5533333333333333,0.8283261802575107,0.935374149659864,0.7626339969372129,0.18977384464110128
"(0, 1, 0, 0, 0)",2,0.595859872611465,1269,0.775995575221239,0.011315417256011316,0.4741951967296883,0.4205020630689795,0.6537744641192917,0.07407407407407407,0.49361702127659574,0.954421768707483,0.006125574272588055,0.45624385447394294
"(0, 1, 0, 0, 1)",2,0.7057324840764331,924,0.8220579874928937,0.717056856187291,0.36937647987371747,0.6361637745179674,0.7060546875,0.6365795724465558,0.936,0.9836734693877551,0.8208269525267994,0.23008849557522124
"(0, 1, 0, 1, 0)",2,0.5270700636942676,1485,0.6962540716612378,0.38856105310939626,0.458975940777298,0.5145970218493107,0.8671399594320487,0.2761290322580645,0.6158940397350994,0.5816326530612245,0.655436447166922,0.36578171091445427
