Kombinace rysů,délka úseku,Accuracy,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(1, 0, 0, 1, 1)",6,0.6285714285714284,0.7423948932423509,0.1868421052631579,0.925,0.6180789995018363,0.6440572267057959,0.19722222222222224,0.890909090909091,0.8983333333333334,0.1775,1.0
"(1, 0, 1, 0, 0)",6,0.9038095238095238,0.9093139492515482,0.935813719898678,0.6804597701149425,0.8418624797550563,0.9829842202065141,0.8987967729249228,0.5157894736842105,0.8466666666666667,0.9775,1.0
"(1, 0, 1, 0, 1)",6,0.8533333333333333,0.8786274771598253,0.8397659966365545,0.625,0.7811311579321266,0.8865116405185217,0.9724019378027817,0.4545454545454545,0.8816666666666666,0.7925,1.0
"(1, 0, 1, 1, 0)",6,0.6428571428571429,0.755152685204761,0.18878787878787878,0.925,0.6229801879975467,0.6629476452052462,0.20382352941176468,0.890909090909091,0.9133333333333333,0.19249999999999998,1.0
"(1, 0, 1, 1, 1)",6,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(1, 1, 0, 0, 0)",6,0.5800000000000001,0.7163856834260843,0.008888888888888889,1.0,0.5750915241049912,0.5832386521860207,0.04,1.0,0.9283333333333335,0.005,1.0
"(1, 1, 0, 0, 1)",6,0.5552380952380952,0.6953596955513032,0.0,1.0,0.5651198985171011,0.5712676035660411,0.0,1.0,0.8883333333333333,0.0,1.0
"(1, 1, 0, 1, 0)",6,0.6323809523809523,0.7442261866231621,0.17835912552198477,1.0,0.640861770715049,0.6561592101394664,0.1754295532646048,1.0,0.8933333333333333,0.195,1.0
"(1, 1, 0, 1, 1)",6,0.5561904761904761,0.6962057550292844,0.0,1.0,0.5654019183430947,0.571722717913521,0.0,1.0,0.8899999999999999,0.0,1.0
"(1, 1, 1, 0, 0)",6,0.917142857142857,0.922230166537072,0.9012262847241486,1.0,0.9411521504204069,0.9924786764390724,0.8275279106858054,1.0,0.8616666666666667,0.99,1.0
"(1, 1, 1, 0, 1)",6,0.5580952380952381,0.6975116462471304,0.004210526315789474,0.9138461538461538,0.5385227754696912,0.5727988259346005,0.013333333333333332,0.8583333333333332,0.8916666666666666,0.0025,1.0
"(1, 1, 1, 1, 0)",6,0.5657142857142856,0.7046556116396392,0.0,1.0,0.5682185372132131,0.5762645384145945,0.0,1.0,0.9066666666666666,0.0,1.0
"(1, 1, 1, 1, 1)",6,0.5571428571428572,0.6970573443077754,0.0,1.0,0.5656857814359251,0.5721827259636619,0.0,1.0,0.8916666666666666,0.0,1.0
"(0, 0, 0, 0, 1)",7,0.5619047619047619,0.7012987012987013,0.0,1.0,0.5670995670995671,0.574468085106383,0.0,1.0,0.9,0.0,1.0
"(0, 0, 0, 1, 0)",7,0.8266666666666665,0.8582960340192048,0.6976636924690813,1.0,0.8519865754960954,0.8997717284328359,0.631521737904101,1.0,0.8433333333333334,0.78,1.0
"(0, 0, 0, 1, 1)",7,0.5619047619047619,0.7012987012987013,0.0,1.0,0.5670995670995671,0.574468085106383,0.0,1.0,0.9,0.0,1.0
"(0, 0, 1, 0, 0)",7,0.9085714285714286,0.9141773413612425,0.8910388373295592,1.0,0.9350720595636007,0.984682403550328,0.8171299324781301,1.0,0.8533333333333333,0.9800000000000001,1.0
"(0, 0, 1, 0, 1)",7,0.6009523809523809,0.7213018688628445,0.1623529411764706,0.6829685835525658,0.5222077978639603,0.6025935970005278,0.39090909090909093,0.5201685139765636,0.9,0.1025,1.0
"(0, 0, 1, 1, 0)",7,0.6352380952380952,0.7484044553739333,0.18626262626262627,0.925,0.6198890272121864,0.6583852835973429,0.19647058823529412,0.890909090909091,0.9016666666666666,0.19,1.0
"(0, 0, 1, 1, 1)",7,0.5619047619047619,0.7012987012987013,0.0,1.0,0.5670995670995671,0.574468085106383,0.0,1.0,0.9,0.0,1.0
"(0, 1, 0, 0, 0)",7,0.6428571428571428,0.5915559528524427,0.6530780137056548,1.0,0.7482113221860324,0.8536959628028358,0.5185337203653577,1.0,0.4533333333333334,0.8825000000000001,1.0
"(0, 1, 0, 0, 1)",7,0.5457142857142857,0.6867933253255285,0.0,1.0,0.5622644417751761,0.5666224429197781,0.0,1.0,0.8716666666666667,0.0,1.0
"(0, 1, 0, 1, 0)",7,0.7552380952380953,0.8139101767240569,0.5191803815606322,1.0,0.777696852761563,0.81769272558942,0.4668398096748613,1.0,0.8483333333333334,0.585,1.0
"(0, 1, 0, 1, 1)",7,0.5619047619047619,0.7012987012987013,0.0,1.0,0.5670995670995671,0.574468085106383,0.0,1.0,0.9,0.0,1.0
"(0, 1, 1, 0, 0)",7,0.9123809523809523,0.9175900397739408,0.8958440321347542,1.0,0.9378113573028983,0.9903600592279836,0.8199808096711128,1.0,0.8550000000000001,0.9875,1.0
"(0, 1, 1, 0, 1)",7,0.5628571428571428,0.7017555734168112,0.004301075268817204,1.0,0.5686855495618761,0.5750824894754808,0.015384615384615385,1.0,0.9,0.0025,1.0
"(0, 1, 1, 1, 0)",7,0.5733333333333334,0.710967741935484,0.0044444444444444444,1.0,0.5718040621266428,0.5800000000000001,0.02,1.0,0.9183333333333333,0.0025,1.0
"(0, 1, 1, 1, 1)",7,0.5619047619047619,0.7012987012987013,0.0,1.0,0.5670995670995671,0.574468085106383,0.0,1.0,0.9,0.0,1.0
"(1, 0, 0, 0, 0)",7,0.6009523809523809,0.7329407370021114,0.027751537736914404,1.0,0.5868974249130086,0.5933901340055525,0.19190476190476188,1.0,0.9583333333333334,0.015,1.0
"(1, 0, 0, 0, 1)",7,0.5523809523809524,0.6928104575163399,0.0,1.0,0.5642701525054467,0.5698924731182796,0.0,1.0,0.8833333333333332,0.0,1.0
"(1, 0, 0, 1, 0)",7,0.6304761904761904,0.7428291664904043,0.1803010752688172,1.0,0.6410434139197405,0.6544745867399183,0.17748987854251014,1.0,0.89,0.195,1.0
"(1, 0, 0, 1, 1)",7,0.5619047619047619,0.7012987012987013,0.0,1.0,0.5670995670995671,0.574468085106383,0.0,1.0,0.9,0.0,1.0
"(1, 0, 1, 0, 0)",7,0.8847619047619049,0.8946542456241863,0.8668525498700748,0.9333333333333332,0.8982800429425316,0.9533681852128455,0.8200797039174338,0.9,0.8466666666666667,0.9275,1.0
"(1, 0, 1, 0, 1)",7,0.5533333333333333,0.6932647594556949,0.004545454545454545,0.7490421455938698,0.4822841198650064,0.5705085730892183,0.025,0.601061477222468,0.8833333333333332,0.0025,1.0
"(1, 0, 1, 1, 0)",7,0.5714285714285714,0.7092919983242564,0.0044444444444444444,1.0,0.5712454809229003,0.5791041433370662,0.02,1.0,0.915,0.0025,1.0
"(1, 0, 1, 1, 1)",7,0.5619047619047619,0.7012987012987013,0.0,1.0,0.5670995670995671,0.574468085106383,0.0,1.0,0.9,0.0,1.0
"(1, 1, 0, 0, 0)",7,0.5800000000000001,0.7163856834260843,0.008888888888888889,1.0,0.5750915241049912,0.5832386521860207,0.04,1.0,0.9283333333333335,0.005,1.0
"(1, 1, 0, 0, 1)",7,0.5457142857142857,0.6867933253255285,0.0,1.0,0.5622644417751761,0.5666224429197781,0.0,1.0,0.8716666666666667,0.0,1.0
"(1, 1, 0, 1, 0)",7,0.6247619047619046,0.7379127945413009,0.17272727272727273,1.0,0.6368800224228578,0.6509671156729981,0.15833333333333333,1.0,0.8833333333333334,0.19,1.0
"(1, 1, 0, 1, 1)",7,0.5476190476190477,0.6885133115656387,0.0,1.0,0.5628377705218794,0.5675574592825645,0.0,1.0,0.875,0.0,1.0
"(1, 1, 1, 0, 0)",7,0.9114285714285714,0.916627791811693,0.8948141182284358,1.0,0.9371473033467096,0.9903966892646137,0.8182899754426843,1.0,0.8533333333333333,0.9875,1.0
"(1, 1, 1, 0, 1)",7,0.5495238095238095,0.6898291010393228,0.004395604395604396,0.815840455840456,0.503355053758461,0.5686444158043036,0.01818181818181818,0.7009803921568627,0.8766666666666666,0.0025,1.0
"(1, 1, 1, 1, 0)",7,0.6219047619047618,0.7354159651906681,0.17142857142857143,1.0,0.6356148455397465,0.6482155977412145,0.15789473684210525,1.0,0.8800000000000001,0.1875,1.0
"(1, 1, 1, 1, 1)",7,0.5599999999999999,0.699601052542229,0.0,1.0,0.566533684180743,0.5735529627087624,0.0,1.0,0.8966666666666667,0.0,1.0
"(0, 0, 0, 0, 1)",8,0.5523809523809524,0.6928104575163399,0.0,1.0,0.5642701525054467,0.5698924731182796,0.0,1.0,0.8833333333333332,0.0,1.0
"(0, 0, 0, 1, 0)",8,0.8219047619047618,0.8541771445881036,0.6940109393644684,1.0,0.8493960279841908,0.8970683050783176,0.6267609618104668,1.0,0.8366666666666667,0.7775,1.0
"(0, 0, 0, 1, 1)",8,0.5523809523809524,0.6928104575163399,0.0,1.0,0.5642701525054467,0.5698924731182796,0.0,1.0,0.8833333333333332,0.0,1.0
"(0, 0, 1, 0, 0)",8,0.900952380952381,0.9062839712134052,0.8830193015750554,1.0,0.9297677575961536,0.980435731176919,0.8076708846859416,1.0,0.8433333333333334,0.975,1.0
"(0, 0, 1, 0, 1)",8,0.5533333333333333,0.6932647594556949,0.00449438202247191,0.7578347578347578,0.4851979664376415,0.5705085730892183,0.02222222222222222,0.6102941176470589,0.8833333333333332,0.0025,1.0
"(0, 0, 1, 1, 0)",8,0.5666666666666667,0.7051149497751439,0.004395604395604396,1.0,0.5698368513902495,0.5768771811325003,0.01818181818181818,1.0,0.9066666666666666,0.0025,1.0
"(0, 0, 1, 1, 1)",8,0.5523809523809524,0.6928104575163399,0.0,1.0,0.5642701525054467,0.5698924731182796,0.0,1.0,0.8833333333333332,0.0,1.0
"(0, 1, 0, 0, 0)",8,0.6428571428571428,0.5915559528524427,0.6530780137056548,1.0,0.7482113221860324,0.8536959628028358,0.5185337203653577,1.0,0.4533333333333334,0.8825000000000001,1.0
"(0, 1, 0, 0, 1)",8,0.5361904761904761,0.678113715867927,0.0,1.0,0.5593712386226424,0.5618755205355347,0.0,1.0,0.8549999999999999,0.0,1.0
"(0, 1, 0, 1, 0)",8,0.7457142857142857,0.8060216211815016,0.5146665484245719,1.0,0.7735627232020245,0.8050342008398275,0.46757728834107903,1.0,0.8400000000000001,0.5725,1.0
"(0, 1, 0, 1, 1)",8,0.5523809523809524,0.6928104575163399,0.0,1.0,0.5642701525054467,0.5698924731182796,0.0,1.0,0.8833333333333332,0.0,1.0
"(0, 1, 1, 0, 0)",8,0.7276190476190477,0.717899148902495,0.6384493496374601,1.0,0.7854494995133183,0.9022549831430767,0.5536822101124563,1.0,0.6599999999999999,0.7949999999999999,1.0
"(0, 1, 1, 0, 1)",8,0.5466666666666666,0.6872135115572393,0.004210526315789474,1.0,0.5638080126243429,0.5672078019407475,0.013333333333333332,1.0,0.8716666666666667,0.0025,1.0
